Festival,Typical celebration time (Gregorian),Lunar timing (common),Where in Bihar (notable),How it’s celebrated (key details),How people relate to it (meaning/identity)
Chhath Puja (Kartik Chhath),"Oct–Nov (most common; 4 days, ~1 week after Diwali)","Shukla Paksha: Chaturthi–Saptami (Kartik month)","Across Bihar; especially Patna, Vaishali, Begusarai, Bhojpur, Darbhanga, etc.","4-day vrat; ‘Nahay-Khay’, ‘Kharna’, evening arghya to setting Sun, morning arghya to rising Sun at rivers/ponds; offerings in soop (bamboo basket), community ghats","Deep pride as Bihar’s signature festival; devotion + discipline; family/community bonding at ghats; gratitude to Sun and nature"
Chhath Puja (Chaiti/Chaitra Chhath),"Mar–Apr (less common; 4 days)","Shukla Paksha: Chaturthi–Saptami (Chaitra month)","Across Bihar (observed by many households)","Same 4-day structure as Kartik Chhath; smaller but equally strict observance","Seen as a ‘second Chhath’ for vows/thanks; often done for family health or a wish-fulfilled mannāt"
Sama-Chakeva,"Nov–Dec","Starts after Kartik Purnima; ends around full moon (varies by region)","Mithila region: Darbhanga, Madhubani, Sitamarhi, Samastipur","Clay/bamboo idols of Sama & Chakeva, folk songs, nightly gatherings by young women, symbolic rituals; celebrates sibling bond and seasonal migration folklore","Strong Maithil cultural identity; sisters pray for brothers’ well-being; keeps folk art + songs alive"
Sonepur Mela (Harihar Kshetra Mela / cattle fair),"Nov–Dec (month-long in many years)","Begins around Kartik Purnima (full moon after Diwali)","Sonepur (Saran), near Ganga–Gandak confluence","Huge fair: livestock trade, crafts, folk performances, rides; pilgrims take ritual bath and visit Harihar Nath temple","Pride in Bihar’s famed fair; mix of faith + commerce + rural recreation; a ‘big annual outing’ for families"
Shravani Mela (Sultanganj–Ajgaibinath Kanwariya tradition),"Jul–Aug","Shravan month","Sultanganj (Bhagalpur) and nearby pilgrimage belt","Devotees collect Ganga jal, walk as Kanwariyas, offer to Shiva; bazaars, camps, devotional music","Seen as intense bhakti + endurance; community service (seva) through camps/food"
Pitrapaksha Mela (Gaya Shraddha),"Sep–Oct (about 15–16 days)","Pitru Paksha (Krishna Paksha of Bhadrapada/early Ashwin)","Gaya","Families perform pind-daan and shraddha rituals at ghats and sacred sites","Deep ancestral duty; many travel from far; belief in peace/moksha for ancestors"
Rajgir Mahotsav (cultural festival),"Oct–Dec (dates vary by year)","Not strictly lunar-fixed","Rajgir (Nalanda)","Multi-day cultural programs: folk/classical music & dance, crafts/food stalls, tourism events","Regional pride + tourism; celebrates Bihar’s arts and heritage in a modern festival format"
Malmas Mela (Adhika Maas fair at Rajgir),"Occurs only in extra lunar month years (every ~2–3 years)","Adhika Maas (Malmas)","Rajgir (Nalanda)","Pilgrimage bathing, temple visits, fairs and religious discourses during the extra month","Seen as rare, highly auspicious; major influx of pilgrims; local economy + devotion both rise"
Buddha Purnima (Buddha Jayanti / Vesak),"Apr–May","Vaishakha Purnima","Bodh Gaya (Gaya), Rajgir, Vaishali, Nalanda sites","Prayer meetings, processions, meditation, lamps; monasteries host ceremonies for Buddha’s birth/enlightenment/parinirvana","Bihar’s global Buddhist connection; harmony + spiritual tourism; locals value it as heritage"
Vaishali Mahotsav,"Apr–May (often)","Not strictly lunar-fixed","Vaishali","Cultural shows, exhibitions, heritage tourism programming (varies by year)","Pride in ancient Vaishali history; blends culture + tourism + local identity"
Jivitputrika Vrat (Jitiya / Jivitputra),"Sep–Oct","Ashtami of Krishna Paksha (Ashwin/Bhadrapada, regional variation)","Across Bihar (very common)","Mothers fast (often nirjala) for children’s long life; puja, story-listening, community gatherings","Strong maternal devotion; emotional family focus on child well-being"
Madhushravani,"Jul–Aug (commonly; can vary)","Often linked to Shravan month (regional tradition)","Mithila: Madhubani, Darbhanga, etc.","Newly married women perform multi-day rituals, snake/serpent worship elements, folk art/ritual storytelling","Symbol of Maithil marriage traditions; blessing for marital happiness + protection"
Bihula / Bishari Puja (Manasa worship),"Aug–Sep (commonly)","Often around Shravan/Bhadrapada (regional)","Bhagalpur and adjoining areas","Worship of goddess Manasa; Manjusha folk art displays; folk tales of Bihula","Local cultural pride; faith for protection from snakebite/illness; preserves Manjusha art"
Makar Sankranti (Til Sankranti / Khichdi Parv),"Jan 14–15 (usually)","Sun’s transit into Makara (solar)","Across Bihar; fairs at Rajgir/Mandar (notable)","Holy dips, charity, kite-flying in places, seasonal foods like dahi-chura, tilkut, laddoos, khichdi","Harvest/seasonal gratitude; ‘simple but big’ home festival tied to food and community"
Holi,"Mar","Phalguna Purnima and next day","Across Bihar","Holika dahan, colors, songs, sweets; local folk styles (phagua)","Community joy + social mixing; villages often treat it as major cultural release after winter"
Diwali (Deepawali),"Oct–Nov","Amavasya (Kartik)","Across Bihar","Lakshmi-Ganesha puja, lamps, sweets, family visits; local markets peak","Family prosperity festival; major economic + social milestone of the year"
Durga Puja / Dussehra,"Sep–Oct","Ashwin Shukla Paksha (Navami/Dashami)","Patna, Muzaffarpur, Bhagalpur, Gaya, etc.","Pandals, aarti, cultural nights, immersion; Ramleela in many towns","Big public celebration; community organization and cultural pride through pandals"
Saraswati Puja (Basant Panchami),"Jan–Feb","Magha Shukla Panchami","Across Bihar; especially students/educational hubs","Saraswati idol worship, books/instruments placed for blessings, immersion next day","Youth-centric festival; identity around learning, arts, exams, and new beginnings"
Ram Navami,"Mar–Apr","Chaitra Shukla Navami","Across Bihar","Processions, bhajans, akharas in some places; temple visits","Devotional + community procession culture; reinforces local religious networks"
Chhath-related Karthik Purnima Snan (ritual bathing),"Nov","Kartik Purnima","Ganga/Gandak ghats; Sonepur–Hajipur belt notable","Holy bath, temple visits; often coincides with fairs like Sonepur Mela","Pilgrimage + faith; for many it’s an annual ‘must-do’ sacred bath day"
Chaurchan (Chauth Chand) – Mithila,"Aug–Sep","Bhadrapada Shukla Chaturthi (regional)","Mithila region","Moon-sighting rituals, offerings; linked with Ganesh traditions and local Maithil customs","Cultural marker for Mithila households; family protection/auspiciousness theme"
Karma Puja (Karam),"Sep–Oct","Often Bhadrapada (varies)","Tribal/rural belts in Bihar","Worship of Karam tree branch, dance, songs, community night rituals","Community solidarity festival; strong among Adivasi/OBC rural groups as identity + harvest well-being"
Eid al-Fitr,"Varies (Islamic lunar)","1 Shawwal (Hijri)","Across Bihar (Patna, Seemanchal, etc.)","Namaz, charity (zakat fitr), family feasts, new clothes","Major communal celebration; reinforces kinship, charity, and social harmony"
Eid al-Adha (Bakrid),"Varies (Islamic lunar)","10 Dhul Hijjah (Hijri)","Across Bihar","Namaz, qurbani, sharing meat with family/poor","Faith + sacrifice + charity; community-sharing focus"
Chhath Ghat community seva (associated tradition),"Oct–Nov (peak during Kartik Chhath)","Tied to Chhath days","River/pond ghats statewide","Volunteers clean ghats, manage lighting/queues, distribute water/first-aid","Civic pride; public service seen as punya (merit) and community responsibility"
